chip_id,decoder,sndr_db,snr_db,sfdr_db,thd_db,enob,dnl_min_lsb,dnl_max_lsb,inl_min_lsb,inl_max_lsb,missing_codes,saturation_fraction,code_rmse_to_oracle_affine_lsb,code_max_to_oracle_affine_lsb,code_gain_to_oracle,weight_rmse_gain_aligned_lsb,weight_max_gain_aligned_lsb
22,NOMINAL_SRM,55.97789451266945,75.92799574252423,59.90114768641965,-59.183353615021105,9.006294769546422,-1.0,2.001763479933736,-101.5665580078043,102.06743974777116,1617,0.0208740234375,38.47453020136092,78.84454281169201,1.000981600201841,17.178583374052323,59.961914657469606
22,CAL_CURRENT_SRM,95.62809676557264,96.71960367304644,112.51466553601409,-112.23552583663795,15.592707103915721,-0.5091020065613794,0.9635919737544822,-0.8541695277332723,0.7896849011978335,0,0.0,0.4370538341946519,1.3643902647527284,1.0185417472550675,0.18384460693605703,0.46699449875028876
22,CAL_ZERO_COMP_ERROR_SRM,91.16361110574444,94.25805243034652,101.37899213996616,-99.83252953247043,14.851098190322997,-1.0,1.43427176317998,-2.1998626688029295,2.173571374074921,4,0.0,0.6567322575875525,2.1964241121459054,1.0269819683280663,0.30816883083728747,0.7369878022108267
22,ORACLE_SRM,97.12334216593078,97.37891155308147,122.1727567711077,-124.66922655845175,15.841086738526707,0.0,0.0,0.0,0.0,0,0.0,4.348309318354037e-12,7.275957614183426e-12,1.0000000000000002,0.0,0.0
23,NOMINAL_SRM,59.21293445930733,78.60412071894275,66.36625038169726,-64.8453149731822,9.543676820482945,-1.0,1.5007631956528376,-65.63183441706892,65.63213969533012,838,0.0145263671875,27.983291278565904,65.8963634013032,0.9983924101839947,13.623676214123764,41.29709674015794
23,CAL_CURRENT_SRM,95.73487657071782,96.49075290295711,117.78448118246857,-122.46354540284841,15.61044461307605,-1.0,0.95547417410544,-1.0031738765545128,0.9613946746013581,1,0.0,0.4310383330291308,1.2630037292838097,1.022781482329739,0.16511138376224707,0.4767183193638047
23,CAL_ZERO_COMP_ERROR_SRM,91.51381203996957,95.33779462426696,104.63509190787377,-103.70434712524252,14.909271102984977,-0.511635004196231,0.9534599832150759,-2.327916380559843,2.304646372167389,0,0.0,0.6620153558502208,2.1645180242707056,1.023859358587449,0.31886533284211044,0.8244610021647532
23,ORACLE_SRM,97.16061967431682,97.4575136382139,123.57352351605236,-125.43657544432585,15.847279015667246,0.0,0.0,0.0,0.0,0,0.0,4.348309318354037e-12,7.275957614183426e-12,1.0000000000000002,0.0,0.0
24,NOMINAL_SRM,59.67001879868913,77.45315102430109,66.0294484175275,-64.21711691555562,9.61960445160949,-1.0,3.0022596454799455,-65.33259538605049,65.33316029742046,1133,0.0203857421875,26.314379471135698,56.989656409741656,1.0002112430239347,11.247352698652756,35.47678396109313
24,CAL_CURRENT_SRM,94.6956673068096,96.45849982125823,109.48062030734162,-115.54251170707289,15.437818489503256,-0.5061647389141515,0.9753410443433943,-1.0680410168767358,1.0557115390484328,0,0.0,0.4713501079159457,1.592845580003086,1.0124861674778942,0.219609220051308,0.5279018289674013
24,CAL_ZERO_COMP_ERROR_SRM,93.31122364770076,96.42206871341175,106.2846022830761,-103.07473215930469,15.207844459750957,-1.0,0.98812848096437,-1.3671168078126117,1.3611810482947957,2,0.0,0.5323145167511589,1.8826550363774004,1.0059697414558122,0.26939163263593485,0.5856066436253968
24,ORACLE_SRM,97.2111287740134,97.52474124596496,123.03485692716563,-123.03846500790905,15.855669231563688,0.0,0.0,0.0,0.0,0,0.0,4.348309318354037e-12,7.275957614183426e-12,1.0000000000000002,0.0,0.0
25,NOMINAL_SRM,56.12288499486826,77.78557676562619,59.94793842946909,-59.60583392127202,9.030379567253865,-1.0,3.5063262125240673,-82.69073377952776,82.6921396045331,2060,0.0333251953125,39.437097364037534,82.43401930966502,0.9986335952438212,17.033817216180815,52.89423657741645
25,CAL_CURRENT_SRM,94.48506603673246,95.92351810841464,110.11139184803342,-116.7538724842243,15.40283488982267,-0.5137712672617685,0.9449149309529261,-1.482337682154574,1.454795147631037,0,0.0,0.48279733961280435,1.4556931439419714,1.02834553823866,0.2304975210804449,0.6433811472873074
25,CAL_ZERO_COMP_ERROR_SRM,92.23833040304095,95.19947830259105,107.38423189480008,-111.64981654322688,15.029622990538364,-1.0,0.9519951171129928,-2.1372854200045763,2.113282978561074,14,0.0,0.5894176546218665,2.0736093653067655,1.0246199078846012,0.2993690344526149,0.832358170404234
25,ORACLE_SRM,97.25043871939712,97.69331395372568,123.37343098609881,-123.70565378112482,15.862199122823442,0.0,0.0,0.0,0.0,0,0.0,4.348309318354037e-12,7.275957614183426e-12,1.0000000000000002,0.0,0.0
