repeat,decoder,sndr_db,snr_db,sfdr_db,thd_db,enob,aligned_error_rmse_lsb,saturation_fraction
15,ORACLE_SRM_22_NOISY,95.97967512398242,96.21124593518039,122.7476593294655,-124.26568625446887,15.651108824581797,0.3312885809739964,0.0
15,ORACLE_SRM_EXPECTED_NOISY,96.77659414632068,97.774327818747,121.50782932913728,-124.25777254851135,15.783487399721043,0.3022678452929087,0.0
15,SELF_CAL_NO_SRM_NOISY,89.7127458356596,90.59292333250536,105.39608059863468,-105.21716551447811,14.61009067037535,0.6723996663606688,0.0
15,SELF_CAL_SRM_22_NOISY,93.96380345106373,95.12072478999892,106.81112700227129,-106.69842392593989,15.31624642044248,0.4122220631716606,0.0
16,ORACLE_NO_SRM_NOISY,90.58897625759374,91.10913516988083,115.79963074301375,-116.38213153772824,14.755643896610257,0.6162584022186162,0.0
16,ORACLE_SRM_22_NOISY,95.92257263559907,96.18834765245033,121.27977138117879,-126.14194151246402,15.641623361395194,0.3334854479125326,0.0
16,ORACLE_SRM_EXPECTED_NOISY,96.79856628328554,97.83795669817167,121.16763492269975,-127.25837415771755,15.787137256359724,0.301553456368602,0.0
16,SELF_CAL_NO_SRM_NOISY,89.77800305441167,90.58741061180874,106.13769753133296,-105.82058532679945,14.620930739935494,0.6674199543961775,0.0
16,SELF_CAL_SRM_22_NOISY,93.92052546890909,94.92782814088869,106.721819783115,-106.63111835321486,15.309057386861975,0.41422542260567097,0.0
17,ORACLE_NO_SRM_NOISY,90.54532719297704,91.0063643284094,115.96498672238246,-114.82228827544347,14.748393221424758,0.619314995984477,0.0
17,ORACLE_SRM_22_NOISY,95.88004553729422,96.01481306079414,122.14934836800167,-124.07148599090735,15.6345590593512,0.3350910640401527,0.0
17,ORACLE_SRM_EXPECTED_NOISY,96.74256406100957,97.73065113783215,122.16221845035764,-128.35830267695354,15.777834561629497,0.3034526113032015,0.0
17,SELF_CAL_NO_SRM_NOISY,89.77732596005188,90.64586467296776,105.50482104706951,-105.17938381831434,14.62081826578935,0.6674324960843337,0.0
17,SELF_CAL_SRM_22_NOISY,93.94688632655499,95.08125554475686,106.043916055787,-105.97328845249382,15.3134362668696,0.41297266654347914,0.0
18,ORACLE_NO_SRM_NOISY,90.53901702604131,90.99770651356201,114.54474443128609,-117.00902208277805,14.747345020937095,0.6197691597178977,0.0
18,ORACLE_SRM_22_NOISY,95.88689204584936,96.24717210716959,123.0149461755341,-125.07520288852874,15.635696353131124,0.33483566194184367,0.0
18,ORACLE_SRM_EXPECTED_NOISY,96.75338908264732,97.71239288762084,121.17026672695012,-126.43837163632597,15.779632737981283,0.30305886019238415,0.0
18,SELF_CAL_NO_SRM_NOISY,89.79508389188217,90.66670261729854,105.32619840685612,-105.22558708466902,14.62376808835252,0.666076280609536,0.0
18,SELF_CAL_SRM_22_NOISY,93.8560520818751,95.08584101982032,105.61678094264477,-105.5290131986539,15.298347521906164,0.4173705323797271,0.0
19,ORACLE_NO_SRM_NOISY,90.49849829675043,90.97642510224105,115.37903032093968,-118.35322102052017,14.740614335008377,0.6226473612747185,0.0
19,ORACLE_SRM_22_NOISY,95.84563422004223,96.14054738068434,122.35848712761867,-125.08479912297776,15.628842893694722,0.33643256519674636,0.0
19,ORACLE_SRM_EXPECTED_NOISY,96.72813445254104,97.70653952149823,121.74282997155699,-126.42532527329479,15.77543761670117,0.303942582838188,0.0
